dt: 18.2573 | dm: -8025.41 | avg dt: 9.93883 | avg dm: 2490.95
dt: 14.7023 | dm: -4001.83 | avg dt: 9.96753 | avg dm: 2451.83
dt: 14.8982 | dm: 4256.8 | avg dt: 9.99705 | avg dm: 2462.64
dt: 12.0383 | dm: 4244.84 | avg dt: 10.0092 | avg dm: 2473.25
dt: 14.4835 | dm: 4249.3 | avg dt: 10.0357 | avg dm: 2483.76
dt: 11.6821 | dm: 4245.55 | avg dt: 10.0454 | avg dm: 2494.12
dt: 14.5637 | dm: 4241.8 | avg dt: 10.0718 | avg dm: 2504.34
dt: 11.6658 | dm: 4238.05 | avg dt: 10.0811 | avg dm: 2514.42
dt: 14.7101 | dm: 4234.3 | avg dt: 10.1078 | avg dm: 2524.36
dt: 11.7406 | dm: 4230.55 | avg dt: 10.1172 | avg dm: 2534.17
dt: 14.0632 | dm: 4290.8 | avg dt: 10.1397 | avg dm: 2544.21
dt: 15.0613 | dm: 4287.05 | avg dt: 10.1677 | avg dm: 2554.11
dt: 11.6962 | dm: 4297.39 | avg dt: 10.1763 | avg dm: 2563.96
dt: 14.3851 | dm: 4279.55 | avg dt: 10.2 | avg dm: 2573.6
dt: 15.33 | dm: 4339.8 | avg dt: 10.2286 | avg dm: 2583.46
dt: 11.8348 | dm: 4336.05 | avg dt: 10.2376 | avg dm: 2593.2
dt: 15.3382 | dm: 4332.3 | avg dt: 10.2657 | avg dm: 2602.81
dt: 11.83 | dm: 4328.55 | avg dt: 10.2743 | avg dm: 2612.29
dt: 16.8392 | dm: 4388.8 | avg dt: 10.3102 | avg dm: 2622
dt: 17.9909 | dm: -16678.4 | avg dt: 10.352 | avg dm: 2517.11
dt: 15.6743 | dm: -8360.06 | avg dt: 10.3807 | avg dm: 2458.31
dt: 12.2421 | dm: 4377.55 | avg dt: 10.3907 | avg dm: 2468.63
dt: 15.1238 | dm: 4373.8 | avg dt: 10.416 | avg dm: 2478.82
dt: 11.9149 | dm: 4370.05 | avg dt: 10.424 | avg dm: 2488.88
dt: 15.0378 | dm: 4366.3 | avg dt: 10.4484 | avg dm: 2498.81
dt: 11.8463 | dm: 4362.55 | avg dt: 10.4558 | avg dm: 2508.62
