dt: 0.605465 | dm: 18.8447 | avg dt: 0.695673 | avg dm: 18.6226
dt: 0.609216 | dm: 18.8447 | avg dt: 0.694932 | avg dm: 18.6245
dt: 0.705725 | dm: 18.8447 | avg dt: 0.694976 | avg dm: 18.6254
dt: 0.663746 | dm: 18.8447 | avg dt: 0.694677 | avg dm: 18.6272
dt: 0.677497 | dm: 18.8447 | avg dt: 0.694466 | avg dm: 18.6298
dt: 0.765309 | dm: 18.8447 | avg dt: 0.69465 | avg dm: 18.6315
dt: 0.677288 | dm: 18.8447 | avg dt: 0.694671 | avg dm: 18.6332
dt: 0.865309 | dm: 18.8447 | avg dt: 0.695343 | avg dm: 18.634
dt: 0.663122 | dm: 18.8447 | avg dt: 0.694973 | avg dm: 18.6365
dt: 0.679111 | dm: 18.8447 | avg dt: 0.694878 | avg dm: 18.6381
dt: 0.652497 | dm: 18.8447 | avg dt: 0.694506 | avg dm: 18.6397
dt: 0.669996 | dm: 18.8447 | avg dt: 0.694226 | avg dm: 18.6412
dt: 1.48947 | dm: 13.2285 | avg dt: 0.697238 | avg dm: 18.6207
dt: 0.844267 | dm: -477.667 | avg dt: 0.69833 | avg dm: 16.6706
dt: 0.589268 | dm: 18.8447 | avg dt: 0.698138 | avg dm: 16.6715
dt: 0.606403 | dm: 18.8447 | avg dt: 0.697389 | avg dm: 16.6875
dt: 0.621455 | dm: 18.8447 | avg dt: 0.696785 | avg dm: 16.7033
dt: 0.609633 | dm: 18.8447 | avg dt: 0.696467 | avg dm: 16.7111
dt: 0.591716 | dm: 18.8447 | avg dt: 0.695773 | avg dm: 16.7266
dt: 0.577966 | dm: 18.8447 | avg dt: 0.694935 | avg dm: 16.7494
dt: 0.590257 | dm: 18.8447 | avg dt: 0.694046 | avg dm: 16.7643
dt: 0.601299 | dm: 18.8447 | avg dt: 0.693717 | avg dm: 16.7716
dt: 0.578955 | dm: 18.8447 | avg dt: 0.692692 | avg dm: 16.7935
dt: 0.557706 | dm: 18.8447 | avg dt: 0.691837 | avg dm: 16.8078
dt: 0.618955 | dm: 18.8447 | avg dt: 0.691266 | avg dm: 16.8219
dt: 0.602445 | dm: 18.8447 | avg dt: 0.69096 | avg dm: 16.8288
dt: 0.608226 | dm: 18.8447 | avg dt: 0.690053 | avg dm: 16.8495
dt: 0.608278 | dm: 18.8447 | avg dt: 0.689509 | avg dm: 16.863
dt: 0.605465 | dm: 18.8447 | avg dt: 0.68898 | avg dm: 16.8763
dt: 0.61182 | dm: 18.8447 | avg dt: 0.689515 | avg dm: 16.8895
dt: 0.604476 | dm: 18.8447 | avg dt: 0.689232 | avg dm: 16.896
dt: 0.614059 | dm: 18.8447 | avg dt: 0.688631 | avg dm: 16.9089
dt: 0.600465 | dm: 18.8447 | avg dt: 0.688148 | avg dm: 16.928
dt: 0.61734 | dm: 18.8447 | avg dt: 0.687622 | avg dm: 16.9405
dt: 0.611403 | dm: 18.8447 | avg dt: 0.687105 | avg dm: 16.9528
dt: 0.694632 | dm: 18.8447 | avg dt: 0.687129 | avg dm: 16.9589
dt: 0.582653 | dm: 18.8447 | avg dt: 0.686529 | avg dm: 16.971
dt: 0.625257 | dm: 18.8447 | avg dt: 0.68565 | avg dm: 16.9888
dt: 0.658955 | dm: 18.8447 | avg dt: 0.685462 | avg dm: 17.0005
dt: 0.594372 | dm: 18.8447 | avg dt: 0.68515 | avg dm: 17.0121
dt: 0.654371 | dm: 18.8447 | avg dt: 0.685054 | avg dm: 17.0178
