dt: 0.420885 | dm: 49.2002 | avg dt: 4.04774 | avg dm: 47.7218
dt: 0.467864 | dm: 45.4502 | avg dt: 4.02796 | avg dm: 47.7092
dt: 0.378906 | dm: 41.7002 | avg dt: 4.00791 | avg dm: 47.6762
dt: 0.37177 | dm: 37.9502 | avg dt: 3.98804 | avg dm: 47.6231
dt: 0.446353 | dm: 34.2002 | avg dt: 3.96879 | avg dm: 47.5501
dt: 0.450052 | dm: 30.4502 | avg dt: 3.94977 | avg dm: 47.4577
dt: 0.405884 | dm: 26.7002 | avg dt: 3.93072 | avg dm: 47.3461
dt: 0.387083 | dm: 22.9502 | avg dt: 3.91177 | avg dm: 47.2156
dt: 1.52817 | dm: 19.2002 | avg dt: 3.89909 | avg dm: 47.0666
dt: 0.484427 | dm: 15.4502 | avg dt: 3.88102 | avg dm: 46.8993
dt: 1.17062 | dm: 204.272 | avg dt: 3.86676 | avg dm: 47.7276
dt: 0.630208 | dm: 71.9502 | avg dt: 3.84981 | avg dm: 47.8544
dt: 0.700259 | dm: 68.2002 | avg dt: 3.83341 | avg dm: 47.9604
dt: 0.440885 | dm: 64.4502 | avg dt: 3.81583 | avg dm: 48.0458
dt: 0.481041 | dm: 60.7002 | avg dt: 3.79864 | avg dm: 48.1111
dt: 0.577031 | dm: 56.9502 | avg dt: 3.78212 | avg dm: 48.1564
dt: 0.476093 | dm: 53.2002 | avg dt: 3.76525 | avg dm: 48.1821
dt: 0.54776 | dm: 49.4502 | avg dt: 3.74892 | avg dm: 48.1886
dt: 0.726145 | dm: 45.7002 | avg dt: 3.73365 | avg dm: 48.176
dt: 0.521926 | dm: 41.9502 | avg dt: 3.71751 | avg dm: 48.1447
dt: 0.52802 | dm: 38.2002 | avg dt: 3.70157 | avg dm: 48.095
dt: 0.480885 | dm: 34.4502 | avg dt: 3.68554 | avg dm: 48.0271
dt: 0.441614 | dm: 30.7002 | avg dt: 3.66948 | avg dm: 47.9413
dt: 0.404478 | dm: 26.9502 | avg dt: 3.6534 | avg dm: 47.8379
dt: 0.47651 | dm: 23.2002 | avg dt: 3.63783 | avg dm: 47.7171
dt: 0.388281 | dm: 19.4502 | avg dt: 3.62197 | avg dm: 47.5793
dt: 0.503281 | dm: 15.7002 | avg dt: 3.60684 | avg dm: 47.4245
dt: 1.28234 | dm: 135.702 | avg dt: 3.59561 | avg dm: 47.851
dt: 0.63375 | dm: 49.1768 | avg dt: 3.58137 | avg dm: 47.8573
dt: 0.430676 | dm: 45.4268 | avg dt: 3.56629 | avg dm: 47.8457
dt: 0.413437 | dm: 41.6768 | avg dt: 3.55128 | avg dm: 47.8163
dt: 0.767916 | dm: 29.7217 | avg dt: 3.53809 | avg dm: 47.7306
